RESPID,GENDER,AGE,WORKING,REGION,MUSIC,LIST_OWN,LIST_BACK,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19
28,Male,15,,North,Music is important to me but not necessarily more important,1,,86,69,70,11,11,47,31,12,2,51,4,72,91,92,94,28,100,,
29,Female,14,,South,Music means a lot to me and is a passion of mine,1,2,81,85,95,35,36,3,3,2,3,100,70,53,76,85,58,16,63,,
30,Female,14,,Centre,Music means a lot to me and is a passion of mine,2,1,82,69,92,56,55,36,36,36,39,95,90,91,53,93,76,57,95,,
31,Female,69,,North,Music is important to me but not necessarily more important,,1,7,7,7,11,12,14,15,12,9,8,52,26,50,68,8,8,8,,
32,Female,74,,South,Music is important to me but not necessarily more important,,2,52,52,32,54,53,30,55,12,11,95,53,54,55,55,11,12,74,,
33,Female,14,,South,Music means a lot to me and is a passion of mine,3,,67,46,61,52,51,52,68,51,45,64,53,44,43,24,11,49,63,,
34,Female,13,,Centre,Music is important to me but not necessarily more important,1,1,68,70,73,51,31,57,32,11,12,72,93,91,92,95,81,79,82,,
35,Female,67,,Centre,I like music but it does not feature heavily in my life,,,9,9,10,9,37,7,14,6,99,38,49,51,7,11,10,9,47,,
36,Female,19,,North,Music is important to me but not necessarily more important,,,22,23,71,51,8,53,15,14,17,14,96,50,31,57,14,31,47,,
37,Male,71,,North,I like music but it does not feature heavily in my life,,,21,19,48,25,30,29,28,25,83,73,10,10,10,31,31,32,29,,
38,Male,64,,North,Music is important to me but not necessarily more important,1,5,58,30,62,47,47,65,73,61,33,53,83,70,49,68,41,84,85,,
39,Female,24,,North,Music is important to me but not necessarily more important,,5,49,48,48,52,51,51,51,51,50,51,50,50,52,51,52,53,52,,
40,Female,13,,North,Music means a lot to me and is a passion of mine,,,69,67,67,68,28,28,46,29,27,50,49,48,70,70,50,54,70,,
41,Female,66,,North,I like music but it does not feature heavily in my life,,,32,52,32,32,51,31,10,11,71,54,70,72,35,52,29,30,71,,
42,Female,13,,North,Music means a lot to me and is a passion of mine,3,1,88,84,93,13,3,13,13,13,16,86,90,91,89,91,70,71,91,,
43,Male,72,,South,I like music but it does not feature heavily in my life,0,,36,36,35,75,56,55,35,32,74,52,34,35,36,59,36,37,53,,
44,Female,13,,North,Music is important to me but not necessarily more important,1,4,72,97,50,51,48,6,8,6,6,29,97,74,97,98,60,7,93,,
45,Male,82,,Centre,Music means a lot to me and is a passion of mine,,16,10,47,31,50,31,51,3,4,49,48,12,12,12,14,10,12,10,,
46,Male,66,,South,Music means a lot to me and is a passion of mine,3,,92,47,86,47,31,14,15,16,67,92,16,16,16,12,15,16,17,,
47,Male,13,,North,Music is important to me but not necessarily more important,1,1,71,71,71,12,12,53,10,10,11,50,72,72,71,50,51,50,51,,
48,Male,72,,South,Music is important to me but not necessarily more important,,,14,14,12,11,10,11,9,12,12,94,11,12,11,13,11,11,12,,
49,Male,13,,Centre,Music is important to me but not necessarily more important,1,1,51,58,63,40,49,32,11,14,72,53,84,85,53,66,39,34,82,,
50,Male,19,,North,Music is important to me but not necessarily more important,1,0,100,53,67,86,32,0,0,1,15,57,52,5,92,95,21,61,67,,
51,Male,73,,South,Music is important to me but not necessarily more important,2,,44,48,29,44,12,5,2,4,71,51,59,18,1,3,3,1,49,,
52,Male,21,,Centre,Music is important to me but not necessarily more important,3,,68,66,70,71,66,71,71,73,70,65,61,73,63,66,67,68,73,,
53,Female,14,,South,Music is important to me but not necessarily more important,3,2,76,77,78,34,33,34,35,35,75,74,74,73,73,72,73,55,74,,
54,Male,65,,South,Music means a lot to me and is a passion of mine,1,,32,79,33,34,33,71,32,32,72,32,74,33,33,50,31,31,31,,
55,Female,66,,South,I like music but it does not feature heavily in my life,,,11,12,12,10,6,51,7,7,48,47,4,3,3,3,7,8,37,,
56,Male,14,,North,Music is important to me but not necessarily more important,2,4,54,96,55,55,38,32,52,32,14,33,76,53,34,56,9,31,72,,
57,Female,73,,South,I like music but it does not feature heavily in my life,,5,9,8,8,7,7,71,7,7,90,53,31,31,8,7,7,7,7,,
58,Female,68,,Centre,Music is no longer as important as it used to be to me,,,25,48,28,29,47,48,48,9,11,69,52,33,34,35,13,13,53,,
59,Male,66,,South,Music is important to me but not necessarily more important,2,0,29,50,35,35,37,53,28,11,70,53,51,30,30,67,33,32,31,,
60,Male,15,,Centre,Music means a lot to me and is a passion of mine,5,1,87,83,90,9,3,98,10,19,3,69,51,45,86,94,79,11,67,,
61,Female,20,,South,Music means a lot to me and is a passion of mine,4,,100,100,100,10,20,2,3,7,10,100,69,68,100,100,100,100,100,,
62,Male,66,,North,Music is important to me but not necessarily more important,1,3,74,41,73,75,75,11,10,13,12,97,97,86,54,72,32,92,80,,
63,Female,72,,South,Music is important to me but not necessarily more important,1,2,50,51,51,28,32,31,33,32,68,48,35,36,37,39,39,36,32,,
64,Female,21,,Centre,Music means a lot to me and is a passion of mine,2,3,90,55,90,71,50,34,8,34,72,74,34,12,52,31,53,54,75,,
65,Female,65,,Centre,Music is important to me but not necessarily more important,,,29,31,32,47,43,65,4,4,95,52,54,51,20,27,7,7,67,,
66,Male,18,,North,Music is important to me but not necessarily more important,1,3,71,68,67,49,53,34,29,16,80,13,3,5,42,53,16,65,47,,
67,Male,68,,South,Music is no longer as important as it used to be to me,,,25,52,6,8,53,69,53,32,54,33,33,30,29,29,7,13,52,,
68,Male,13,,North,Music is important to me but not necessarily more important,,,52,54,56,30,55,55,12,10,11,23,73,68,36,54,41,51,72,,
69,Female,77,,South,I like music but it does not feature heavily in my life,,2,13,12,12,12,11,31,13,12,90,9,11,10,12,10,10,9,9,,
70,Female,70,,North,I like music but it does not feature heavily in my life,,,7,31,7,5,6,30,32,7,52,7,31,32,8,11,35,6,37,,
71,Male,70,,South,I like music but it does not feature heavily in my life,0,0,3,46,7,6,5,88,4,5,90,6,51,64,2,1,2,2,71,,
72,Female,71,,North,Music is important to me but not necessarily more important,1,2,31,14,14,51,52,52,11,11,96,76,76,76,51,70,14,13,51,,
73,Female,68,,Centre,I like music but it does not feature heavily in my life,,,1,2,2,2,31,51,3,3,94,51,3,4,3,2,2,2,2,,
74,Female,71,,Centre,Music is important to me but not necessarily more important,,3,51,50,50,6,5,50,8,10,10,51,66,67,11,36,4,6,68,,
75,Female,78,,Centre,Music is important to me but not necessarily more important,1,2,10,11,48,29,9,50,8,6,61,35,51,42,49,39,15,15,55,,
76,Male,66,,South,Music is important to me but not necessarily more important,,1,51,51,34,35,36,76,8,9,9,51,9,10,10,10,30,8,8,,
77,Male,13,,North,Music means a lot to me and is a passion of mine,7,4,99,50,99,6,3,48,46,46,2,99,91,74,97,99,97,4,98,,
78,Female,21,,South,Music is important to me but not necessarily more important,1,,34,34,54,64,55,37,53,32,52,52,52,51,52,52,36,13,52,,
79,Female,71,,Centre,Music is important to me but not necessarily more important,,,59,49,48,48,29,50,35,9,69,51,36,36,38,52,16,4,50,,
80,Male,65,,South,Music is important to me but not necessarily more important,,,11,50,14,14,18,52,12,10,70,26,9,7,10,25,9,11,32,,
81,Male,15,,South,Music is important to me but not necessarily more important,0,3,47,63,27,22,22,24,18,18,12,29,39,33,29,41,34,32,21,,
82,Male,14,,North,I like music but it does not feature heavily in my life,1,,18,53,34,68,58,70,12,5,93,22,79,59,35,38,12,12,34,,
83,Male,67,,South,Music is important to me but not necessarily more important,,4,68,56,65,24,25,79,49,49,49,70,70,72,52,72,32,32,49,,
84,Female,14,,North,Music means a lot to me and is a passion of mine,6,,62,32,67,17,23,28,10,71,31,94,12,12,44,75,58,43,47,,
85,Female,14,,Centre,Music means a lot to me and is a passion of mine,2,2,62,76,53,52,36,69,49,27,33,34,75,71,61,71,48,34,62,,
86,Male,13,,North,Music means a lot to me and is a passion of mine,4,4,100,100,100,16,16,14,97,13,14,100,100,100,100,94,76,79,100,,
87,Male,77,,North,Music is important to me but not necessarily more important,1,,11,45,8,46,44,34,15,13,86,46,20,7,8,51,10,10,10,,
88,Female,13,,North,Music means a lot to me and is a passion of mine,2,5,92,96,93,99,97,97,98,100,100,71,92,77,78,80,78,86,85,,
89,Female,68,,Centre,Music is important to me but not necessarily more important,,,52,53,70,6,5,52,8,7,6,51,51,63,6,51,25,51,52,,
90,Male,66,,Centre,Music means a lot to me and is a passion of mine,,,97,98,71,9,10,52,6,5,52,94,52,10,11,92,94,9,12,,
91,Female,74,,South,Music is important to me but not necessarily more important,,,32,71,49,31,32,13,13,10,48,49,48,31,31,50,49,31,71,,
92,Female,21,,South,Music means a lot to me and is a passion of mine,3,1,95,86,89,11,14,48,63,48,13,64,29,21,54,61,80,33,69,,
93,Female,15,,Centre,Music is important to me but not necessarily more important,,,64,68,78,56,30,30,29,18,70,53,80,80,73,81,51,32,61,,
94,Female,14,,South,Music means a lot to me and is a passion of mine,3,2,88,81,67,29,26,25,27,39,33,89,73,72,86,85,68,52,86,,
95,Female,14,,South,Music means a lot to me and is a passion of mine,3,1,49,67,60,5,6,49,6,10,5,47,47,47,64,97,49,53,77,,
96,Male,78,,South,Music is important to me but not necessarily more important,,,1,54,4,3,4,95,0,0,6,49,3,2,69,9,5,2,1,,
97,Male,37,,Centre,Music is important to me but not necessarily more important,1,,49,50,64,53,56,58,76,76,88,61,64,67,66,69,53,53,54,,
98,Female,15,,Centre,Music is important to me but not necessarily more important,2,1,30,56,53,54,52,71,30,29,29,29,77,76,59,67,52,28,75,,
99,Female,66,,South,Music is important to me but not necessarily more important,,2,34,54,32,32,55,56,74,75,75,25,64,65,39,72,33,34,35,,
100,Male,13,,South,Music is important to me but not necessarily more important,2,2,72,73,86,28,46,29,16,13,21,57,74,80,86,86,70,50,68,,
101,Male,69,,Centre,Music is important to me but not necessarily more important,1,2,47,64,63,47,18,14,10,10,52,67,0,46,8,29,26,7,68,,
102,Male,70,,North,Music has no particular interest for me,0,0,0,1,0,0,100,100,0,0,100,0,0,0,0,0,0,0,0,,
103,Female,71,,South,I like music but it does not feature heavily in my life,,2,12,13,12,12,12,71,11,11,73,51,72,31,12,12,13,13,51,,
104,Female,15,,North,Music means a lot to me and is a passion of mine,3,2,76,72,79,32,63,11,58,57,15,89,70,70,77,88,77,78,81,,
105,Female,22,,North,Music has no particular interest for me,,,55,56,55,55,53,53,51,51,51,51,51,28,52,54,52,54,55,,
106,Female,,,South,Music is important to me but not necessarily more important,1,1,66,35,63,65,71,27,46,12,73,49,89,69,50,53,34,55,93,,
107,Female,76,,North,Music is important to me but not necessarily more important,,,31,53,54,3,13,30,2,2,96,52,4,4,3,18,8,4,53,,
108,Male,15,,South,I like music but it does not feature heavily in my life,,1,53,69,30,31,31,70,16,27,63,13,41,13,12,64,10,12,51,,
109,Male,67,,Centre,I like music but it does not feature heavily in my life,0,8,34,51,51,38,33,37,6,6,36,51,67,54,14,70,9,12,56,,
110,Male,71,,Centre,Music is important to me but not necessarily more important,0,2,54,54,34,55,56,71,30,31,53,54,11,16,34,56,13,15,32,,
111,Male,68,,South,I like music but it does not feature heavily in my life,1,,17,50,15,14,14,30,12,11,100,67,24,49,14,12,28,15,15,,
112,Male,78,,South,Music has no particular interest for me,,,11,12,11,11,13,100,10,11,99,6,8,10,7,8,8,8,8,,
113,Male,66,,South,Music is important to me but not necessarily more important,,,10,11,10,73,54,41,12,12,97,70,14,11,13,14,16,13,16,,
114,Female,19,,North,I like music but it does not feature heavily in my life,1,10,6,72,0,49,49,98,32,2,19,5,95,100,10,7,6,5,97,,
115,Female,15,,North,Music is important to me but not necessarily more important,2,3,53,71,56,71,72,52,56,59,74,76,67,53,55,71,53,54,73,,
116,Female,72,,South,Music is important to me but not necessarily more important,,4,10,60,7,5,6,7,7,8,65,68,84,7,10,28,7,9,45,,
117,Male,71,,North,Music has no particular interest for me,,,13,14,12,11,4,96,54,15,95,14,10,10,12,51,32,12,10,,
118,Female,13,,Centre,Music has no particular interest for me,0,0,6,21,3,5,4,52,6,6,32,4,52,43,3,5,7,8,7,,
119,Female,68,,Centre,Music is important to me but not necessarily more important,0,2,1,1,1,1,0,1,0,0,95,51,26,74,1,1,1,0,2,,
120,Male,78,,North,I like music but it does not feature heavily in my life,,,33,76,36,27,26,81,30,9,71,30,73,72,31,34,19,19,19,,
121,Male,15,,South,Music is important to me but not necessarily more important,3,0,86,29,73,53,11,52,33,11,70,51,70,70,90,90,33,7,89,,
122,Female,65,,Centre,Music means a lot to me and is a passion of mine,3,,50,50,68,32,30,30,28,27,49,70,69,67,65,67,66,64,65,,
123,Female,65,,Centre,I like music but it does not feature heavily in my life,,2,6,15,16,9,12,39,9,8,66,87,70,26,13,19,21,4,7,,
124,Male,77,,Centre,I like music but it does not feature heavily in my life,0,1,74,47,74,70,70,52,12,13,91,51,27,27,48,11,12,12,73,,
125,Female,14,,South,Music is important to me but not necessarily more important,2,1,29,52,18,19,16,14,52,14,15,57,57,26,16,30,31,31,57,,
126,Female,14,,North,Music is important to me but not necessarily more important,1,2,75,77,88,33,34,35,31,12,12,94,95,90,74,93,71,73,96,,
127,Female,13,,South,Music means a lot to me and is a passion of mine,,5,92,59,93,42,44,23,6,5,9,87,87,59,76,98,53,22,100,,
128,Male,66,,Centre,I like music but it does not feature heavily in my life,1,,13,55,55,12,13,11,92,94,74,53,93,53,11,73,12,51,72,,
129,Female,20,,North,Music means a lot to me and is a passion of mine,1,3,53,45,68,57,5,39,52,2,2,67,85,85,65,64,24,4,87,,
130,Male,55,,South,Music means a lot to me and is a passion of mine,2,3,71,69,70,27,27,27,100,67,29,52,52,52,68,98,67,95,70,,
131,Male,65,,Centre,Music is important to me but not necessarily more important,2,6,12,12,50,14,15,13,33,15,74,92,70,33,34,55,9,12,15,,
132,Female,58,,South,I like music but it does not feature heavily in my life,1,9,32,31,53,29,30,29,27,10,11,73,73,29,29,52,28,27,76,,
133,Male,68,,South,Music means a lot to me and is a passion of mine,2,,92,74,95,9,11,10,9,9,27,95,9,9,6,50,51,9,10,,
134,Male,66,,Centre,Music means a lot to me and is a passion of mine,3,1,27,3,28,3,2,2,3,4,100,98,3,3,2,3,27,2,3,,
135,Male,84,,South,Music is important to me but not necessarily more important,4,2,74,13,50,29,40,57,96,92,52,100,99,100,35,100,62,43,70,,
136,Male,77,,North,I like music but it does not feature heavily in my life,,2,38,39,39,40,36,36,38,12,34,32,34,30,36,37,9,33,36,,
137,Male,14,,North,Music means a lot to me and is a passion of mine,2,,44,49,62,70,61,64,68,82,71,36,45,58,50,45,45,52,55,,
138,Female,14,,Centre,Music means a lot to me and is a passion of mine,5,2,85,86,98,28,22,22,6,7,11,70,96,84,94,88,88,54,80,,
139,Female,66,,Centre,Music is important to me but not necessarily more important,,3,34,29,27,33,33,34,34,31,74,74,79,79,33,33,10,10,50,,
140,Female,68,,South,I like music but it does not feature heavily in my life,,,15,15,57,18,19,51,11,11,34,52,72,10,11,36,34,14,73,,
141,Female,65,,Centre,Music is important to me but not necessarily more important,1,,69,69,58,56,58,34,38,38,62,99,74,77,53,55,41,41,58,,
142,Female,22,,North,I like music but it does not feature heavily in my life,1,3,44,85,51,71,14,35,51,31,22,32,65,64,73,74,21,16,60,,
143,Male,13,,North,Music is important to me but not necessarily more important,1,1,40,45,48,41,11,37,49,11,67,8,71,70,48,53,36,9,72,,
144,Female,66,,South,Music is important to me but not necessarily more important,,,32,13,11,13,49,93,13,13,92,15,76,74,12,15,16,17,78,,
145,Female,15,,North,Music is important to me but not necessarily more important,3,3,80,73,68,70,81,36,47,52,7,33,36,87,27,29,46,72,44,,
146,Male,13,,South,Music is important to me but not necessarily more important,1,2,70,73,87,70,29,73,8,7,55,69,50,72,98,90,47,53,53,,
147,Male,14,,South,Music means a lot to me and is a passion of mine,12,12,71,72,53,7,7,48,7,6,53,74,37,11,38,45,72,82,91,,
148,Female,14,,Centre,Music is important to me but not necessarily more important,2,3,48,50,68,10,9,51,33,27,33,68,76,91,64,69,53,54,78,,
149,Male,20,,Centre,Music is important to me but not necessarily more important,1,1,70,33,70,49,25,51,51,32,32,53,71,53,28,48,11,31,69,,
150,Female,14,,Centre,Music means a lot to me and is a passion of mine,3,0,73,48,73,26,23,27,22,36,25,75,72,76,70,70,49,58,72,,
151,Female,24,,Centre,Music is important to me but not necessarily more important,1,2,90,37,58,66,31,18,19,2,46,59,72,33,15,27,18,14,78,,
152,Male,14,,South,Music is important to me but not necessarily more important,,1,69,78,53,35,16,62,25,18,52,48,73,76,39,31,27,27,75,,
153,Male,13,,South,Music means a lot to me and is a passion of mine,2,2,51,53,70,52,34,11,10,12,12,35,88,72,51,73,11,54,72,,
154,Male,14,,North,Music is important to me but not necessarily more important,2,1,73,92,91,20,12,11,51,52,13,93,93,82,82,88,88,71,90,,
155,Male,14,,Centre,Music means a lot to me and is a passion of mine,5,,36,55,51,49,51,49,43,65,49,64,13,14,39,61,52,33,42,,
156,Female,13,,South,Music is important to me but not necessarily more important,,,68,70,38,49,11,9,9,9,48,15,48,38,50,50,0,50,77,,
157,Male,19,,South,Music is important to me but not necessarily more important,1,,73,71,71,31,71,31,11,12,89,72,12,9,90,90,72,33,73,,
158,Female,60,,South,Music is important to me but not necessarily more important,3,2,49,51,73,13,13,30,13,14,68,69,69,46,52,32,32,73,72,,
159,Male,13,,Centre,Music is important to me but not necessarily more important,4,2,71,54,76,33,33,53,12,11,33,74,75,73,74,72,74,53,72,,
160,Male,19,,North,Music means a lot to me and is a passion of mine,2,5,90,77,81,16,14,31,71,72,11,83,80,79,85,88,87,23,89,,
161,Male,19,,Centre,Music means a lot to me and is a passion of mine,6,1,22,66,14,25,56,29,10,64,8,28,35,55,34,35,44,10,25,,
162,Male,18,,Centre,I like music but it does not feature heavily in my life,,,71,33,61,47,65,52,17,55,75,14,54,78,28,52,69,30,46,,
163,Male,13,,North,Music means a lot to me and is a passion of mine,1,1,92,90,96,48,45,26,29,53,12,71,92,93,66,96,84,91,74,,
164,Male,22,,North,Music means a lot to me and is a passion of mine,4,1,100,74,100,25,5,10,31,2,47,26,20,20,89,96,49,8,25,,
165,Female,64,,Centre,I like music but it does not feature heavily in my life,1,2,8,51,29,28,10,51,9,9,50,71,71,31,32,31,30,10,49,,
166,Female,13,,Centre,Music means a lot to me and is a passion of mine,5,,11,49,17,21,4,5,5,6,5,6,80,81,46,73,20,3,63,,
167,Male,14,,Centre,Music means a lot to me and is a passion of mine,,,67,25,46,70,34,68,49,22,33,51,71,31,51,52,30,71,55,,
168,Male,24,,South,Music means a lot to me and is a passion of mine,2,1,85,80,87,8,7,1,46,54,7,84,99,60,90,100,91,77,98,,
169,Female,23,,Centre,I like music but it does not feature heavily in my life,0,1,24,21,17,37,31,86,4,5,93,8,21,12,56,42,8,28,11,,
170,Male,15,,North,Music means a lot to me and is a passion of mine,2,1,91,91,91,12,11,12,69,70,12,93,94,57,92,92,77,71,91,,
171,Male,14,,Centre,Music is important to me but not necessarily more important,1,,88,88,87,29,4,29,20,16,3,71,72,70,52,64,77,55,84,,
172,Male,15,,South,Music means a lot to me and is a passion of mine,4,,100,99,100,31,32,2,2,1,80,99,14,12,99,98,97,51,0,,
173,Male,15,,Centre,Music is important to me but not necessarily more important,3,1,51,95,98,5,5,6,12,12,9,50,48,68,70,92,80,51,69,,
174,Male,20,,North,Music is important to me but not necessarily more important,1,0,69,18,72,91,12,35,33,11,73,47,66,30,50,30,31,3,65,,
175,Female,13,,Centre,Music is important to me but not necessarily more important,2,0,62,80,54,31,34,12,6,8,10,57,73,71,52,68,55,76,80,,
176,Male,14,,South,Music is important to me but not necessarily more important,1,1,80,81,81,14,16,90,77,11,16,51,82,76,38,82,21,37,86,,
177,Female,13,,South,Music is important to me but not necessarily more important,,,100,59,77,29,8,30,90,53,12,11,94,77,95,64,10,10,92,,
178,Male,20,,South,Music is important to me but not necessarily more important,1,3,64,16,22,77,82,54,70,61,89,34,44,27,100,78,7,0,56,,
179,Female,13,,Centre,Music means a lot to me and is a passion of mine,2,1,74,90,90,30,14,31,13,14,13,90,93,72,91,75,91,49,75,,
180,Female,19,,South,Music is important to me but not necessarily more important,1,2,63,64,34,47,48,63,51,32,32,30,63,64,48,59,32,11,33,,
181,Male,14,,North,Music means a lot to me and is a passion of mine,2,2,100,100,100,9,14,10,73,72,7,100,100,98,100,100,50,19,100,,
182,Male,14,,South,Music means a lot to me and is a passion of mine,2,3,57,20,72,36,58,44,73,27,72,31,81,69,19,49,33,42,92,,
183,Male,15,,South,Music is important to me but not necessarily more important,2,,54,72,57,33,13,17,10,10,13,91,69,72,56,88,67,13,54,,
184,Male,21,,South,Music is important to me but not necessarily more important,,,72,89,87,5,23,13,9,11,52,73,74,76,76,77,9,8,90,,
185,Female,14,,Centre,Music is important to me but not necessarily more important,2,3,30,54,44,55,71,33,10,7,76,51,68,29,51,67,50,35,49,,
186,Female,21,,North,Music means a lot to me and is a passion of mine,8,5,67,92,89,49,45,62,79,72,71,53,87,78,74,80,61,69,80,,
187,Female,14,,South,Music means a lot to me and is a passion of mine,7,1,90,69,89,9,11,12,47,68,27,80,91,71,51,51,74,74,51,,
188,Male,19,,South,I like music but it does not feature heavily in my life,0,2,6,30,47,73,28,70,86,57,56,35,97,75,37,41,18,31,65,,
189,Female,14,,North,Music means a lot to me and is a passion of mine,2,2,94,94,93,36,10,13,73,73,10,72,94,72,73,72,70,71,94,,
190,Male,21,,South,I like music but it does not feature heavily in my life,1,,37,66,42,52,69,26,78,44,64,31,59,47,66,31,75,49,59,,
191,Female,20,,South,Music is important to me but not necessarily more important,2,4,11,50,70,50,63,56,6,8,64,22,57,63,12,11,11,11,11,,
192,Male,19,,North,I like music but it does not feature heavily in my life,,,2,78,2,3,2,50,60,25,93,48,49,48,49,12,14,2,1,,
193,Male,14,,North,Music has no particular interest for me,,,16,15,17,15,15,92,17,18,71,15,15,14,16,17,17,17,17,,
194,Male,23,,Centre,Music means a lot to me and is a passion of mine,2,2,66,52,100,41,2,68,70,39,4,53,51,24,79,83,50,2,60,,
195,Female,13,,Centre,Music means a lot to me and is a passion of mine,,,53,52,52,48,51,50,57,53,53,52,53,51,55,56,48,47,54,,
196,Female,24,,Centre,Music means a lot to me and is a passion of mine,3,,89,89,90,9,11,13,12,12,13,88,12,12,66,64,67,53,36,,
197,Female,15,,Centre,Music is important to me but not necessarily more important,,,31,37,64,30,25,31,31,13,32,25,76,91,59,85,26,10,50,,
198,Male,19,,North,Music is important to me but not necessarily more important,2,2,71,73,71,31,8,100,60,7,8,69,70,96,63,88,29,9,75,,
199,Female,23,,South,Music is important to me but not necessarily more important,1,6,81,80,79,51,34,38,45,80,28,79,99,98,92,90,73,48,52,,
200,Male,19,,South,Music means a lot to me and is a passion of mine,,,100,82,58,44,67,70,54,33,53,78,59,67,77,74,50,78,69,,
201,Female,22,,Centre,I like music but it does not feature heavily in my life,,,29,66,46,55,31,33,47,32,49,67,71,47,28,48,30,10,34,,
202,Male,19,,South,Music is important to me but not necessarily more important,4,2,91,72,72,53,54,23,24,51,51,90,91,71,70,69,71,67,71,,
203,Male,22,,Centre,Music means a lot to me and is a passion of mine,5,,92,76,100,100,22,3,47,65,5,100,4,6,88,92,77,100,69,,
204,Male,24,,North,Music means a lot to me and is a passion of mine,6,1,100,82,100,28,1,36,35,43,30,100,34,27,48,93,88,59,77,,
205,Male,19,,North,Music is important to me but not necessarily more important,1,3,87,74,78,34,68,64,89,43,46,32,94,77,45,50,71,57,88,,
206,Male,22,,Centre,Music is important to me but not necessarily more important,2,2,73,81,63,23,10,81,100,81,12,100,47,57,76,100,68,11,53,,
207,Male,23,,South,Music is important to me but not necessarily more important,4,1,81,53,86,50,50,0,26,7,48,49,63,49,46,56,47,3,25,,
208,Male,22,,North,Music means a lot to me and is a passion of mine,4,12,92,53,53,56,53,54,69,53,32,32,73,78,75,75,76,50,52,,
